5.1. Seberapa puas Anda terhadap Anda menilai kemampuan mentor dalam menjelaskan materi?,"5.2. Jika Anda menjawab ""Tidak puas"", atau ""Sangat tidak puas"" pada pertanyaan sebelumnya, faktor apa saja yang mempengaruhi ketidakpuasan Anda?",5.3. Metode pembelajaran apa yang digunakan oleh mentor?,5.4. Seberapa puas Anda terhadap metode pembelajaran yang digunakan oleh mentor?,5.5. Seberapa puas Anda terhadap materi kelas Program GIKnowledge Building 2025?,"5.6. Jika Anda menjawab ""Tidak puas"", atau ""Sangat tidak puas"" pada pertanyaan sebelumnya, faktor apa saja yang mempengaruhi ketidakpuasan Anda?",5.7. Apakah materi dan kegiatan yang diberikan sesuai dengan kebutuhan pengembangan Anda?,5.8. Apakah Program GIKnowledge Building membantu Anda memahami hal-hal baru yang relevan dengan rencana pekerjaan atau karier Anda?,5.9. Apakah Anda merasa lebih percaya diri setelah mengikuti program ini?,"5.10. Sejauh mana program ini memberi dampak positif bagi cara Anda bekerja, berpikir, atau berkolaborasi?",5.11. Bagaimana pendapat Anda tentang jadwal dan durasi setiap sesi?,5.12. Seberapa puas Anda terhadap fasilitas kelas GIKnowledge Building 2025?,"5.13. Jika Anda menjawab ""Tidak puas"", atau ""Sangat tidak puas"" pada pertanyaan sebelumnya, faktor apa saja yang mempengaruhi ketidakpuasan Anda?",5.14. Seberapa puas Anda terhadap Tim GIK dalam memberikan bimbingan dan dukungan yang cukup selama  penyelenggaraan Program GIKnowledge Building 2025?,"5.15. Jika Anda menjawab ""Tidak puas"", atau ""Sangat tidak puas"" pada pertanyaan sebelumnya, faktor apa saja yang mempengaruhi ketidakpuasan Anda?",5.16. Apa manfaat utama yang Anda rasakan setelah mengikuti program ini?,5.17. Apa hal terbaik dari Program GIKnowledge Building 2025 yang sebaiknya dipertahankan?,"5.18. Apakah ada topik, metode, atau aktivitas baru yang ingin Anda tambahkan pada pelaksanaan selanjutnya?","5.19. Berdasarkan level kepuasanmu terhadap keseluruhan pelaksanaan program sejauh ini, seberapa mungkin Anda memberi rekomendasi ke teman atau mahasiswa lain untuk mengikuti Program GIKnowledge Building?","5.20. Jika Anda menjawab ""Sangat direkomendasikan"", atau ""Direkomendasikan"" pada pertanyaan sebelumnya, Berikan alasan mengapa Anda bersedia merekomendasikan program GIKnowledge Building ini kepada teman atau mahasiswa lain?",5.21. Ceritakan pengalaman berkesan selama Anda mengikuti Program GIKnowledge Building!,5.22. Berikan saran perbaikan untuk pengembangan dan keberlanjutan Program GIKnowledge Building!
Netral,Pertanyaan tidak relevan,Diskusi,Netral,Sangat tidak puas,"Materi dan/atau topik kurang relevan, Materi dan/atau topik kurang substantif, Materi dan/atau topik tidak sesuai ekspektasi",Tidak,Tidak,Tidak,Netral,Cukup/ideal,Netral,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,"Manfaat utama mungkin insight tentnag perusahaannya, namun materi yang diberikan terlalu jauh dengan kesan yang harusnya diberikan. Semisal pada perusahaan mitra yang mana berekspektasi akan belajar mengenai penerapan teknologi, AI, dll pada bidang mereka namun selama kelas dimulai dengan pengenalan perusahan dan seterusnya tentnag prompting AI yang kurang relevan dengan fokus mengkoneksikan/menghubungkan pengetahuan akademik dengan kondisi real lapangan.",semua aspek sudah cukup baik dari program GIKnowledge Building namun memang materi yang diberikan kurang relevan.,"Mungkin topik yang lebih relevan dengan mitra dan akademik, bukan materi yang terlalu general yang mana kurang memberikan insight mengenai penerapan dan juga korelasi antara pengetahuan dikampus dengan penggunaanya di lapangan.",Netral,N/A,Pengalaman paling berkesan adalah saat opening program GIKnowledge Building,mungkin silabus dari setiap mitra dapat di review ulang kembali
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,pengetahuan langsung tentang proses bisnis yang sejalan dengan teori yang dipelajari,capstone project,tidak ada,Sangat direkomendasikan,banyak manfaatnya tidak hanya pengetahuan tetapi juga relasi,Saat menyusun capstone project dengan satu tim yang saling melengkapi bukan hanya untuk kepentingan sendiri-sendiri tapi bareng bareng untuk mencapai target project yang ada,tidak ada
Puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,"mengetahui kebutuhan dan kinerja dunia kerja, mendapat pembelajaran materi langsung dari yang telah berkecimpung pada bidangnya",Fasilitas dan jadwal yang tertata,aktivitas di perusahaan mitra,Direkomendasikan,menambah wawasan dan relasi baru,bisa berdiskusi langsung dengan para ahli,menambah bidang dan perusahaan mitra
Puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Netral,Terlalu singkat,Netral,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Mendapat insight tentang perusahaan yang linear dengan prodi,Banyaknya perusahaan yang dapat dipilih ,Aktivitas lebih interaktif ,Netral,N/A,Bisa berkunjung ke perusahaan yang dipilih,Program lebih lama
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Tidak puas,Jadwal bertabrakan dengan kegiatan lain dan ditetapkan tanpa kesepakatan bersama.,Tidak puas,Penentuan jadwal sangat tidak sesuai,Menambah insight baru,Mitra profesional,-,Netral,N/A,Kegiatan interaktif dan mengasyikkan,Sebaiknya jadwal kelas dilaksanakan pada malam hari kerja atau hari Sabtu.
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Untuk mengembangkan potensi diri dalam menghadapi dunia kerja dalam industri,Hal-hal interaktif dengan mentor dengan brand besar ,Lebih banyak games dan kegiatan presentasi bahkan hal-hal seperti debat untuk melatih public speaking ,Sangat direkomendasikan,sangat merekomendasikan karena pengalaman dengan teman bahkan perusahaan mitras benar benar hal yang impactful dalam melatih cara public speaking ,Presentasi tentang shared service yang mendapatkan juara 1,Materi dan video pembelajaran saat hari h bisa diupload di google clasroom tepat waktu 
Puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Pastinya pengetahuan saya terkait kelapa sawit lebih luas,capstone project,tidak ada,Sangat direkomendasikan,"ini bener bener keren, saya meraskaan bagaimana materi dari praktisi yang jarang disampaikan di kampus. diberikan detail juga","Mentor ramah ramah, penjelasanya cukup jelas, di bimbing dengan baik",sebaiknya ruangan jangan terlalu dingin dan disediakan meja dari awal seperti kuliah umumnya
Sangat puas,Pertanyaan tidak relevan,Diskusi,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Netral,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,"program ini dapat meningkatkan pengetahuan, keterampilan, dan akses pasar serta memperkuat teknologi yang ada dimasa sekarang",Tim yang solid dan baik,Tidak ada,Direkomendasikan,N/A,Pengalaman selama program GIKnowledge Building ini berupa dapat bertemu dengan para mentor yang super hebat yang terjun langsung dari Mitra perusahaan mitra ,"Dari awal mungkin lebih prepare di dalam kelas, mulai dari ketersediaan meja di dalam ruang kelas"
Puas,Pertanyaan tidak relevan,Kegiatan interaktif,Netral,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Saya dapat ilmu baru yang tentunya belum saya dapatkan sama sekali di kelas ketika kuliah dengan mentor mentor yang memiliki reputasi,Kesiapan segala kegiatan,Kunjungan perusahaan,Direkomendasikan,Dapat melihat insight kedepan mengenai perusahaan kelapa sawit (sesuai dengan minat saya),Sangat berkesan ketika dipersilahkan berdiskusi dan mempresentasikan tentang suatu topik,Diberi tambahan kunjungan perusahaan 😁
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Terlalu singkat,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,"Relasi yang lebih luas dan pengalaman baru di bidang baru yang saya dapat. Walaupun bisa dibilang kurang relevan dengan studi saya, tapi ada aspek aspek lain yang bisa saya pelajari dan lihat bagaimana relevansinya pada sektor itu.",Partnership dengan perusahaan perusahaan kee,"Kalo bisa ada studi ke lapangan wkwkw, in case 1 atau 2 kali datang ke lapangan untuk lihat langsung bagaimana kehidupan nyata di lapangan.",Sangat direkomendasikan,"Beneran bisa upgrade diri dan menambah wawasan, sebagai mahasiswa magister yang cukup banyak waktu luang, kegiatan ini beneran keren dan bermanfaat",pembagian kelompok dan capstone project,"overall sudah bagus untuk di kelas perusahaan mitra, tinggal kalo boleh adakan ku jungan lapangan aja"
Sangat puas,N/A,Kegiatan interaktif,Sangat puas,Sangat puas,N/A,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,N/A,Puas,N/A,Bisa mendapatkan ilmu langsung dari pakar dan pelaku usaha,Pembicara yang langsung dari direksi strategis perusahaan,Pelaksanaan praktek di lapangan,Sangat direkomendasikan,Wawasan yang didapatkan lebih konkret,Bisa berinteraksi langsung dengan direksi perusaahn,Semoga lebih baik lagi ke depannya
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Terlalu singkat,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Mengetahui informasi tentang karier di perusahaan mitra,pembagian materi sesuai perusaahan mitra,-,Direkomendasikan,bermitra dengan perusahaan yang relevan dgn prodi,seru sekali bisa mendengar materi langsung dari ahli pada perusahaan mitra,-
Puas,Pertanyaan tidak relevan,Kunjungan lapangan,Puas,Puas,Pertanyaan tidak relevan,Ya,Tidak,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,"Manfaat yang saya rasakan adalah saya lebih mengetahui fitur praktis dari perusahaan mitra ataupun perusahaan mitra. Ini akan menambah skill saya dalam marketing ataupun sales, dan dunia influencer",Praktik dari mentor saat menggunakan perusahaan mitra,Sejauh ini cukup,Direkomendasikan,"Pembelajaran seimbang antara teori dan praktik. Namun, yang paling penting digital presence itu juga penting jadi harus belajar bareng-bareng sama teman-teman yang minat disana dan GIKnowledge Building mewadahinya",Keren!,cukup baik
,,,,,,,,,,,,,,,,,,,,,
Sangat puas,Latar belakang mentor kurang relevan,Praktik dan simulasi,Sangat puas,Sangat puas,Materi dan/atau topik kurang relevan,Ya,Ya,Ya,Sangat berdampak,Terlalu singkat,Sangat puas,Fasilitas kurang memadai,Sangat puas,Tim GIK kurang responsif dan/atau informatif,-,-,-,Sangat direkomendasikan,-,-,-
Netral,Penyampaian materi oleh mentor kurang menarik,Diskusi,Netral,Netral,"Materi dan/atau topik kurang relevan, Materi dan/atau topik kurang substantif, Materi dan/atau topik tidak sesuai ekspektasi",Tidak,Tidak,Tidak,Netral,Terlalu panjang,Netral,Fasilitas kurang inklusif,Tidak puas,"Tim GIK kurang responsif dan/atau informatif, Tim GIK kurang mengakomodasi kebutuhan peserta kelas",-,-,-,Netral,-,-,"Lebih memperketat dalam pemilihan atau rekrutmen LO (LO kurang responsif), evaluasi tim GIK agar lebih respon terhadap pertanyaan-pertanyaan yang ingin di tanyakan oleh peserta yang berkaian tentang program-program yang di kelola oleh GIK (tidak merespon pertanyaan peserta dengan baik, LEBIH KE TIDAK MERESPON PESERTA)."
Sangat puas,Pertanyaan tidak relevan,Diskusi,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Tidak puas,"Tim GIK kurang responsif dan/atau informatif, Tim GIK kurang mengakomodasi kebutuhan peserta kelas",Saya jadi percaya diri untuk mengungkapkan pendapat dan bertanya di kelas.,Mitra dan mentor yang keren banget,"Mungkin menambah mitra, dengan Google misalnya.",Sangat direkomendasikan,"Menambah relasi, insight, dan meningkatkan rasa percaya diri","Senang rasanya saat di-notice oleh mentor, hehe","Semoga ke depannya adminnya lebih responsif, terima kasih :)"
Puas,Pertanyaan tidak relevan,Diskusi,Puas,Netral,"Materi dan/atau topik kurang relevan, Materi dan/atau topik kurang substantif, Materi dan/atau topik tidak sesuai ekspektasi",Ya,Ya,Tidak,Netral,Terlalu singkat,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,"Saya menjadi memahami bahwa ternyata solusi yang saya berikan atau pikirkan itu sudah dilakukan oleh perusahaan, sehingga memang benar bahwa ada kemungkinan teori dan praktik akan berbeda jauh",Menurut saya hal terbaik yang perlu dipertahankan adalah komunikasi yang benar-benar sangat responsif dan konsistensi acara,bagaimana menjadi HR yang baik dan bertanggung jawab,Direkomendasikan,N/A,"Berkunjung ke PT. perusahaan mitra. meskipun saya berasal dari psikologi, saya sendiri senang untuk melihat alat-alat bekerja. Selain itu, saya merasa bahwa sharing dengan HR PT.perusahaan mitra sangat membuka wawasan terkait dengan bagaimana real case yang terjadi di lapangan terkait dengan manajemen sumber daya manusia",Mungkin durasi untuk PT perusahaan mitra atau mitra lainnya bisa lebih diperpanjang dan materi lebih diperdalam lagi. Selain itu ada pendampingan secara insentif terkait dengan materi dan apa yang dibutuhkan oleh peserta GIKnowledge Building
Sangat puas,Pertanyaan tidak relevan,Kunjungan lapangan,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,"Saya mendapat gambaran langsung bagaimana dunia industri bekerja dan standar yang berlaku dalam dunia industri. Saya dilatih bagaimana kolaborasi tim dalam menganalisis dan menemukan solusi permasalahan pada dunia industri, terutama pada bagian produksi.","hal terbaik menurut saya yang perlu dipertahankan yaitu ""company visit"". karena akan terasa sangat berbeda suasana di kelas dengan berada langsung pada perusahaan tersebut. dan kita jadi lebih mudah memahami dan memperkirakan implementasi yang bisa di terapkan dari ilmu dan pemahaman yang diterima.",tidak ada.,Sangat direkomendasikan,"karena program ini benar benar memberikan dampak positif bagi peserta, karena mereka merasakan langsung di mentoring dari pihak perusahaan yang diinginkan. kegiatan ini terasa seperti ""mini magang"". Dan diakhir program pun peserta mendapatkan sertifikasi.","Saya mendapat hal menarik dari pemimpin perusahaan PT.perusahaan mitra, yaitu alasan perusahaan bergabung menjadi bagian group dari perusahaan asal jerman. Bapak petrus menyampaikan bahwa dengan bergabung menjadi bagian group perusahaan yang jauh lebih maju bukan seperti ""menjual diri"" namun akan banyak hal yang bisa diserap untuk memajukan industri dalam negeri. Bapak petrus juga menyampaikan jangan hanya melihat pada valuasi/hasil akhir, namun lihat berapa jauh growth nya.",Mungkin lebih diperjelas jumlah pertemuan pada rangkaian program.
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Netral,Terlalu singkat,Netral,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,"Karena SMART Tbk. bergerak di sektor perkebunan kelapa sawit, saya sebagai seseorang yang menekuni bidang teknik pertanian sangat mendapatkan insight lebih dalam terkait sistem operasional dalam palm oil industry, sehingga semua ilmu yang diperoleh dapat memberikan bekal untuk jenjang karir saya berikutnya yang beraspirasi di bidang kelapa sawit.","Sistem kelas interaktif, pemberian stiker kepada yang aktif ",Mungkin diperbanyak business case karena hal tsb betul2 mengasah kemampuan berkelompok untuk berpikir dan menyatukan pendapat lebih dari satu kepala,Sangat direkomendasikan,N/A,"Pengalaman yang paling berkesan adalah ketika menjalani capstone project, karena saya dipertemukan dengan anggota kelompok yang luar biasa, jatuh bangun bersama menentukan topik dan akhirnya menemukan solusi",Mungkin durasi waktu perlu diperpanjang karena saya merasa 2 jam rasanya masih belum cukup
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Netral,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Dapat mengetahui company lebih dalam,Diskusi oleh para pakarnya,tidak ada,Netral,N/A,Saat diberikan coklat karena menjawab pertanyaan,tidak ada
Netral,Latar belakang mentor kurang relevan,Diskusi,Netral,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Lebih banyak wawasan dan lebih banyak koneksi antar fakultas,kualitas dari pematerian di kelas,belum ada,Sangat direkomendasikan,karena materi yang diberikan umumnya tidak dapat ditemukan di matakuliah biasa (di jurusan saya) ,bertemu dan berdiskusi hampir setiap minggu dengan kelompok untuk mempersiapkan presentasi Capstone,perbanyak mitranya
Sangat puas,Pertanyaan tidak relevan,Diskusi,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Netral,Pertanyaan tidak relevan,Netral,Pertanyaan tidak relevan,Lebih paham mengenai marketing berdasarkan apa yang diajarkan oleh perusahaan mitra,Excited dan semangatnya,-,Netral,N/A,Berkesan ketika mewawancarai UMKM,Waktunya lebih fleksibel dan tidak di weekday
Puas,Pertanyaan tidak relevan,Praktik dan simulasi,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Terlalu singkat,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Mempelajari job desk dan memahami consumer behavior dari konsumen ,Menciptakan produk yang dibutuhkan konsumen,Lebih ke intensif satu bidang ,Direkomendasikan,N/A,"Seru, asik dan kompeten banget pembicaranya",Semoga ada lagi
Puas,Pertanyaan tidak relevan,Diskusi,Puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Memahami sistem program perusahaan dari hulu ke hilir dengan jelas,Mengundang pembicara ahli bidang perusahaan,Field trip,Direkomendasikan,Kurikulum dan pembelajaran jelas ,Mendapatkan merch dan hadiah setiap pertemuan,Ketepatan waktu diperhatikan
Puas,Penyampaian materi oleh mentor kurang menarik,Diskusi,Puas,Puas,Materi dan/atau topik tidak sesuai ekspektasi,Ya,Tidak,Tidak,Netral,Cukup/ideal,Puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Memperoleh ilmu dan relasi,Timelinenua,Tidak,Direkomendasikan,N/A,-,-
Netral,Pertanyaan tidak relevan,Ceramah,Sangat puas,Netral,Materi dan/atau topik kurang substantif,Ya,Ya,Ya,Berdampak,Cukup/ideal,Netral,Fasilitas kurang inklusif,Sangat puas,Pertanyaan tidak relevan,Banyak insight baru terkait host live,Akomodasi,iklan GMV,Netral,ya,"good mentor, banyak pengetahuan baruu",tidak ada
Puas,Pertanyaan tidak relevan,Praktik dan simulasi,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Netral,Terlalu panjang,Netral,Pertanyaan tidak relevan,Netral,Pertanyaan tidak relevan,Banyak sih,Banyak sih,-,Netral,N/A,-,-
Puas,Pertanyaan tidak relevan,Praktik dan simulasi,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Netral,Terlalu singkat,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Menambah pengetahuan,Kolaborasi dengan mitra terbaik,Tidak ada,Direkomendasikan,Memberikan ilmu yang baru,Simulasi sebagai host live sangat berkesan,-
Sangat puas,Pertanyaan tidak relevan,Ceramah,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Saya jadi mengetahui lebih banyak mengenai pekerjaan live host perusahaan mitra serta teknik dan banyak lainnya,Opening yang baik,Belum ada,Direkomendasikan,N/A,"Pengalaman berkesan saya adalah ketika dapat berkomunikasi dengan orang orang yang satu kegiatan dengan saya, mereka memiliki latar belakang dan cerita yang berbeda sehingga dapat menginspirasi saya dan menjalin komunikasi serta relasi yang baik",N/A
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Saya jadi paham teori & ilmu tentang livestream yang dijalankan liverstreamer harus memenuhi indikator apa saja,Praktik & aktivitas interaktifnya agar peserta tidak sekadar paham dr diskusi,Adakan magang 3 bulanan yang bisa didaftar peserta ,Direkomendasikan,Karena tidak ada kampus lain yang sudah siap mengadakan & memfasilitasi program seperti ini utk pengembangan skill mhs dan alumninya. ,"Meski 2 event saya hadiri secara online, karena kendala agenda lain, namun karena penyampaian mentor & fasilitas yang mumpuni membuat saya bisa keep up setara dengan peserta lain untuk bisa liverstreaming dengan baik.",Tingkatkan kualitas & advertising program2 selanjutnya
Sangat puas,Pertanyaan tidak relevan,Diskusi,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Lebih tahu tentang algoritma streaming perusahaan mitra,Ada simulasinya,tidak ada,Netral,N/A,ujiannya praktek live di perusahaan mitra,tidak ada
,,,,,,,,,,,,,,,,,,,,,
Sangat puas,"Latar belakang mentor kurang relevan, Mentor kurang interaktif, Penyampaian materi oleh mentor kurang menarik",Kegiatan interaktif,Sangat puas,Sangat puas,"Materi dan/atau topik kurang relevan, Materi dan/atau topik kurang substantif, Materi dan/atau topik tidak sesuai ekspektasi",Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,"Fasilitas kurang memadai, Fasilitas kurang inklusif",Sangat puas,"Tim GIK kurang responsif dan/atau informatif, Tim GIK kurang mengakomodasi kebutuhan peserta kelas",Banyak teman,Menarik,Banyakin pakar,Sangat direkomendasikan,Menarik,Banyak teman,Tak ada
Netral,Pertanyaan tidak relevan,Diskusi,Tidak puas,Sangat tidak puas,"Materi dan/atau topik kurang relevan, Materi dan/atau topik kurang substantif, Materi dan/atau topik tidak sesuai ekspektasi",Tidak,Tidak,Tidak,Tidak berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Makin paham cara prompt ai,Kesigapan tim gik,Bikin materi yang advance,Tidak direkomendasikan,Ga jelas materinya,Opening ceremony,-
Netral,Pertanyaan tidak relevan,Diskusi,Netral,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Netral,Cukup/ideal,Netral,Pertanyaan tidak relevan,Netral,Pertanyaan tidak relevan,-,-,-,Netral,N/A,-,-
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,"Pertanyaan tidak relevan, ",Ya,Ya,Ya,Sangat berdampak,Terlalu panjang,Puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,saya jadi memahami topik yang saya minati,-,-,Sangat direkomendasikan,-,-,-
Netral,Pertanyaan tidak relevan,Diskusi,Netral,Puas,Pertanyaan tidak relevan,Ya,Ya,Tidak,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Penambahan wawasan mengenai dunia kerja baik karier lapangan ataupun perkantoran.,Mitra perusahaan dengan citra yang baik seperti FMCG dapat membantu mahasiswa menentukan rencana karir.,Tidak ada.,Netral,N/A,"Memperoleh banyak insight baru seperti shared service yang tidak dipelajari di perkuliahan, selain itu mendapatkan relasi dengan mentor-mentor yang bisa langsung berdiskusi. Cukup senang dapat membuka zona baru sebelum lulus dari UGM.","Sebaiknya untuk jadwal kelas dapat diberikan lebih detail pada saat pendaftaran yang dibarengi dengan buku panduan, karena dengan begitu mahasiswa tidak bingung."
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,"Manfaat utama yang saya rasakan adalah peningkatan keterampilan teknis yang sangat praktis pemanfaatan teknoloi dibidan arobisnis. Saya kini tidak hanya paham teori, tapi juga mampu mengimplementasikannya dalam sebuah proyek nyata, yang juga menambah isi portofolio saya.","Hal terbaik yang wajib dipertahankan adalah kualitas mentor yang sangat suportif dan ahli di bidangnya. Selain itu, kurikulum yang terstruktur dan metode pembelajaran berbasis proyek (project-based) sangat efektif untuk memahami materi secara mendalam.","Saya mengusulkan penambahan topik tentang AI lebi detail. Selain itu, aktivitas seperti sesi persiapan karier, contohnya mock interview teknikal atau review CV, akan sangat melengkapi program ini.",Sangat direkomendasikan,"Saya merekomendasikan program ini karena materinya sangat relevan dengan kebutuhan industri saat ini. Proses belajar yang fokus pada praktik dan pembangunan portofolio, didukung oleh mentor berkualitas, membuat program ini sangat bernilai bagi siapa saja yang ingin serius di bidang development.","Pengalaman paling berkesan adalah saat mengerjakan proyek akhir. Saya belajar banyak tentang manajemen waktu, kolaborasi tim menggunakan Git, dan proses debugging yang menantang. Melihat proyek itu akhirnya selesai dan berfungsi adalah kepuasan tersendiri.",Pembaian rekaman kelas untuk maasiswa yan beralanan adir
Puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Menambah banyak insight dan kepercayaan diri,Kolobarasi dengan berbagai mitra yang menarik,Tidak,Netral,N/A,"Menambah banyak teman, ilmu, pengalaman yang tak terlupakan",Tidak ada
Puas,Pertanyaan tidak relevan,Kegiatan interaktif,Netral,Netral,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Terlalu singkat,Puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,"Manfaat utama tentunya secara teknis saya jadi tahu terkait fitur fitu r dalam perusahaan mitra yang dapat kita manfaatkan unntuk menganalisis  gmv perusahaan mitra terutama  di fitur livenya, saya juga terlatih untuk public speaking dan pembawaan yang baik ketika menjadi host  live","praktikalnyaa lebih banyak,karena jikaa terlalu banyak sesi materi saja  dapat membuat ssuasana  jenuh","Topik: Career Preparation untuk mahasiswa semester akhir dan terhubung langsung dengan HR dari beberapa  perusahaan untuk konsultasi
Metode Interaktif, jadi ketika  maateri disampaikan sambil praktikal",Netral,N/A,langsung terconnect  dengan pihak perusahaan dan teman teman yang  ambisius dalamm program ini,untuk hari  kedua  ketiga  mungkin berikan konsum snack begitu
Puas,Pertanyaan tidak relevan,Diskusi,Puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,"Mengetahui seputar mitra, cara kerja, lingkungan, dan informasi terbaru.",Mitra yang dipilih,Tidak,Direkomendasikan,Memberi insight baru terkait mitra yg dipilih,Diskusi capstone dan cara kerja mitra,Mitra yang ditawarkan lebih banyak lagi
